ID	SubClass Of
ID	SC %
pbpko:PBPKO_00004	'has_biological_process' some GO:0007588
pbpko:PBPKO_00004	'has_biological_process' some 'absorption'
pbpko:PBPKO_00004	'has_biological_process' some 'enterohepatic recirculation'
pbpko:PBPKO_00004	'has_biological_process' some 'distribution process'
pbpko:PBPKO_00004	'has_biological_process' some 'elimination'
pbpko:PBPKO_00004	'has_compartment' some 'endosomal space compartment'
pbpko:PBPKO_00004	'has_compartment' some 'central compartment'
pbpko:PBPKO_00004	'has_compartment' some 'peripheral compartment'
pbpko:PBPKO_00004	'has_compartment' some 'bladder compartment'
pbpko:PBPKO_00004	'has_compartment' some 'extrathoracic compartment'
pbpko:PBPKO_00004	'has_compartment' some 'thoracic compartment'
pbpko:PBPKO_00004	'has_compartment' some 'rest of body compartment'
pbpko:PBPKO_00004	'has_compartment' some 'arterial plasma'
pbpko:PBPKO_00004	'has_compartment' some 'venous plasma compartment'
pbpko:PBPKO_00004	'has_compartment' some 'richly perfused tissue compartment'
pbpko:PBPKO_00004	'has_compartment' some 'poorly perfused tissue compartment'
pbpko:PBPKO_00004	'has_compartment' some 'adipose compartment'
pbpko:PBPKO_00004	'has_compartment' some 'blood compartment'
pbpko:PBPKO_00004	'has_compartment' some 'bone marrow compartment'
pbpko:PBPKO_00004	'has_compartment' some 'brain compartment'
pbpko:PBPKO_00004	'has_compartment' some 'skin compartment'
pbpko:PBPKO_00004	'has_compartment' some 'endocrine gland compartment'
pbpko:PBPKO_00004	'has_compartment' some 'hair compartment'
pbpko:PBPKO_00004	'has_compartment' some 'heart compartment'
pbpko:PBPKO_00004	'has_compartment' some 'mammary gland compartment'
pbpko:PBPKO_00004	'has_compartment' some 'muscle compartment'
pbpko:PBPKO_00004	'has_compartment' some 'nail compartment'
pbpko:PBPKO_00004	'has_compartment' some 'pancreas compartment'
pbpko:PBPKO_00004	'has_compartment' some 'plasma compartment'
pbpko:PBPKO_00004	'has_compartment' some 'reproductive compartment'
pbpko:PBPKO_00004	'has_compartment' some 'spleen compartment'
pbpko:PBPKO_00004	'has_compartment' some 'barrier compartment'
pbpko:PBPKO_00004	'has_compartment' some 'arterial blood compartment'
pbpko:PBPKO_00004	'has_compartment' some 'digestive system compartment'
pbpko:PBPKO_00004	'has_compartment' some 'excreta compartment'
pbpko:PBPKO_00004	'has_compartment' some 'feces compartment'
pbpko:PBPKO_00004	'has_compartment' some 'urine compartment'
pbpko:PBPKO_00004	'has_compartment' some 'kidney compartment'
pbpko:PBPKO_00004	'has_compartment' some 'liver compartment'
pbpko:PBPKO_00004	'has_compartment' some 'lung compartment'
pbpko:PBPKO_00004	'has_compartment' some 'venous blood compartment'
pbpko:PBPKO_00004	'has_transporter' some 'oatp'
pbpko:PBPKO_00004	'has_transporter' some 'abcc3'
pbpko:PBPKO_00004	'has_transporter' some 'abcc2'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'absorption rate constant gut'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'absorption rate constant intestine'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'gastric emptying rate'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'specific intestinal permeability'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'volume of distribution'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound gut'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound stomach'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound intestine'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound pancreas'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound liver'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound kidney'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound muscle'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound heart'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound fat'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound gonad'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound skin'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound bone'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound spleen'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound lung'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fraction unbound enterocytes'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'gut plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'stomach plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'intestine plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'pancreas plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'liver plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'kidney plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'muscle plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'heart plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'fat plasma partition coefficient'
pbpko:PBPKO_00004	'has_biochemical_parameter' some 'gonad plasma partition coefficient'
